can,ky_thi,mon,cau,so_y,link,dap_an_1,dap_an_2,tieu_de,sao,chu_de,id
đáp án,H20,電力,問1,1,https://denken-ou.com/denryokuh20-1/,5,,水力発電所で使用される水車の種類と特徴に関する空欄穴埋問題,1,電力水力,denryoku:denryokuh20-1
đáp án,H20,理論,問18,2,https://denken-ou.com/rironh20-18/,5,1,無線通信で行われるアナログ変調・復調に関する空欄穴埋問題,3,電子理論（電子回路）,riron:rironh20-18
đáp án,H20,理論,問17,2,https://denken-ou.com/rironh20-17/,4,4,導体球間に加わる力及び力が釣り合う位置の導出に関する計算問題,3,電磁気（静電界）,riron:rironh20-17
đáp án,H20,理論,問16,2,https://denken-ou.com/rironh20-16/,3,1,オシロスコープの原理と考え方に関する空欄穴埋・計算問題,4,電気及び電子計測,riron:rironh20-16
đáp án,H20,理論,問15,2,https://denken-ou.com/rironh20-15/,4,4,抵抗と誘導性リアクタンスを組み合わせた三相平衡回路に関する計算問題,2,電気回路（三相交流）,riron:rironh20-15
đáp án,H20,理論,問14,1,https://denken-ou.com/rironh20-14/,3,,電流計で測定する際に許される誤差に関する計算問題,3,電気及び電子計測,riron:rironh20-14
đáp án,H20,理論,問13,1,https://denken-ou.com/rironh20-13/,2,,トランジスタの接地方式の異なる基本増幅回路に関する論説問題,3,電子理論（電子回路）,riron:rironh20-13
đáp án,H20,理論,問12,1,https://denken-ou.com/rironh20-12/,2,,電子の運動エネルギーと速度の関係に関する計算問題,2,電子理論（電子の運動）,riron:rironh20-12
đáp án,H20,理論,問11,1,https://denken-ou.com/rironh20-11/,2,,pn接合した半導体の太陽電池の原理に関する空欄穴埋問題,2,電子理論（半導体）,riron:rironh20-11
đáp án,H20,理論,問10,1,https://denken-ou.com/rironh20-10/,5,,RL直列回路の過渡現象に関する論説問題,1,電気回路（過渡現象）,riron:rironh20-10
đáp án,H20,理論,問9,1,https://denken-ou.com/rironh20-9/,2,,インダクタンス接続前後の交流電力の変化に関する計算問題,2,電気回路（単相交流）,riron:rironh20-9
đáp án,H20,理論,問8,1,https://denken-ou.com/rironh20-8/,1,,LC並列回路に流れる電流が零となる角周波数に関する計算問題,1,電気回路（単相交流）,riron:rironh20-8
đáp án,H20,理論,問7,1,https://denken-ou.com/rironh20-7/,3,,直流電源と抵抗を直並列させた回路の各抵抗に流れる電流に関する計算問題,2,電気回路（直流回路）,riron:rironh20-7
đáp án,H20,理論,問6,1,https://denken-ou.com/rironh20-6/,5,,スイッチ切換時の電流値からの未知の抵抗値の導出に関する計算問題,2,電気回路（直流回路）,riron:rironh20-6
đáp án,H20,理論,問5,1,https://denken-ou.com/rironh20-5/,3,,直並列したコンデンサの電荷の動きに関する計算問題,3,電気回路（直流回路）,riron:rironh20-5
đáp án,H20,理論,問4,1,https://denken-ou.com/rironh20-4/,3,,環状鉄心に巻くコイルの自己インダクタンスと巻数の関係に関する計算問題,3,電磁気（磁気、電磁力）,riron:rironh20-4
đáp án,H20,理論,問3,1,https://denken-ou.com/rironh20-3/,4,,環状ソレノイドの起磁力と鉄心中の磁束に関する計算問題,1,電磁気（磁気、電磁力）,riron:rironh20-3
đáp án,H20,理論,問2,1,https://denken-ou.com/rironh20-2/,4,,平行板コンデンサに蓄えられるエネルギーに関する空欄穴埋問題,3,電磁気（静電界）,riron:rironh20-2
đáp án,H20,理論,問1,1,https://denken-ou.com/rironh20-1/,5,,正三角形上に配置された複数の点電荷による合成電界に関する計算問題,3,電磁気（静電界）,riron:rironh20-1
đáp án,H19,法規,問13,2,https://denken-ou.com/houkih19-13/,3,4,設置すべき変圧器のバンク容量と年間消費電力量に関する計算問題,2,電気施設管理（計算）,houki:houkih19-13
đáp án,H19,法規,問12,2,https://denken-ou.com/houkih19-12/,3,3,日負荷曲線からの変圧器の全日効率の導出に関する計算問題,2,電気施設管理（計算）,houki:houkih19-12
đáp án,H19,法規,問11,2,https://denken-ou.com/houkih19-11/,2,3,ケーブルの絶縁耐力試験に関する計算問題,2,電気設備技術基準（計算）,houki:houkih19-11
đáp án,H19,法規,問10,1,https://denken-ou.com/houkih19-10/,4,,絶縁油の保守，点検のため行う試験に関する空欄穴埋問題,2,電気施設管理（知識）,houki:houkih19-10
đáp án,H19,法規,問9,1,https://denken-ou.com/houkih19-9/,4,,低圧幹線の施設に関する空欄穴埋問題,2,電気設備技術基準の解釈,houki:houkih19-9
đáp án,H19,法規,問8,1,https://denken-ou.com/houkih19-8/,1,,高圧保安工事に関する空欄穴埋問題,3,電気設備技術基準の解釈,houki:houkih19-8
đáp án,H19,法規,問7,1,https://denken-ou.com/houkih19-7/,5,,異常時の保護対策に関する空欄穴埋問題,3,電気設備の技術基準を定める省令,houki:houkih19-7
đáp án,H19,法規,問6,1,https://denken-ou.com/houkih19-6/,2,,発電機等の機械的強度に関する空欄穴埋問題,2,電気設備の技術基準を定める省令,houki:houkih19-6
đáp án,H19,法規,問5,1,https://denken-ou.com/houkih19-5/,5,,発電所等への取扱者以外の者の立入の防止に関する空欄穴埋問題,2,電気設備の技術基準を定める省令,houki:houkih19-5
đáp án,H19,法規,問4,1,https://denken-ou.com/houkih19-4/,4,,低圧電線路の絶縁性能に関する空欄穴・計算問題,3,電気設備技術基準（計算）,houki:houkih19-4~2
đáp án,H19,法規,問3,1,https://denken-ou.com/houkih19-3/,5,,一般用電気工作物に該当する小規模発電設備に関する空欄穴埋問題,2,電気事業法及び施行規則,houki:houkih19-3
đáp án,H19,法規,問2,1,https://denken-ou.com/houkih19-2/,2,,事業用電気工作物の工事計画の事前届出に関する論説問題,4,電気事業法及び施行規則,houki:houkih19-2
đáp án,H19,法規,問1,1,https://denken-ou.com/houkih19-1/,5,,登録調査機関による一般用電気工作物の調査の義務に関する空欄穴埋問題,2,電気事業法及び施行規則,houki:houkih19-1
đáp án,H19,機械,問18,2,https://denken-ou.com/kikaih19-18/,5,1,D-A 変換器で行われる出力電圧の換算に関する計算問題,4,情報伝送及び処理,kikai:kikaih19-18
đáp án,H19,機械,問17,2,https://denken-ou.com/kikaih19-17/,2,3,抵抗とコンデンサを組み合わせた回路の周波数伝達関数に関する計算問題,3,自動制御,kikai:kikaih19-17
đáp án,H19,機械,問16,2,https://denken-ou.com/kikaih19-16/,1,4,単相双方向サイリスタスイッチに関する計算・論説問題,4,パワーエレクトロニクス,kikai:kikaih19-16
đáp án,H19,機械,問15,2,https://denken-ou.com/kikaih19-15/,4,3,三相同期電動機の角速度とトルクの導出に関する計算問題,2,同期機,kikai:kikaih19-15
đáp án,H19,機械,問14,1,https://denken-ou.com/kikaih19-14/,3,,フリップフロップを含む論理回路の真理値表に関する論説問題,2,情報伝送及び処理,kikai:kikaih19-14
đáp án,H19,機械,問13,1,https://denken-ou.com/kikaih19-13/,4,,電気めっき法により析出する亜鈉の量に関する計算問題,3,電気化学,kikai:kikaih19-13
đáp án,H19,機械,問12,1,https://denken-ou.com/kikaih19-12/,1,,電気的に温度を測定する温度計に関する空欄穴埋問題,3,電気機器,kikai:kikaih19-12
đáp án,H19,機械,問11,1,https://denken-ou.com/kikaih19-11/,2,,白熔電球による円形テーブルの平均照度に関する計算問題,3,照明,kikai:kikaih19-11
đáp án,H19,機械,問10,1,https://denken-ou.com/kikaih19-10/,1,,無停電電源装置の構成と用途に関する空欄穴埋問題,3,パワーエレクトロニクス,kikai:kikaih19-10
đáp án,H19,機械,問9,1,https://denken-ou.com/kikaih19-9/,5,,入力波形からの適切な電力変換回路の選定に関する選択問題,3,パワーエレクトロニクス,kikai:kikaih19-9
đáp án,H19,機械,問8,1,https://denken-ou.com/kikaih19-8/,4,,遮断器の用途や種類に関する空欄穴埋問題,3,電気機器,kikai:kikaih19-8
đáp án,H19,機械,問7,1,https://denken-ou.com/kikaih19-7/,2,,単相変圧器の短絡試験からのリアクタンス値の導出に関する計算問題,3,変圧器,kikai:kikaih19-7
đáp án,H19,機械,問6,1,https://denken-ou.com/kikaih19-6/,2,,電力を供給するために必要な単巻変圧器の自己容量に関する計算問題,3,変圧器,kikai:kikaih19-6
đáp án,H19,機械,問5,1,https://denken-ou.com/kikaih19-5/,1,,三相同期発電機の同期インピーダンスの導出に関する計算問題,4,同期機,kikai:kikaih19-5
đáp án,H19,機械,問4,1,https://denken-ou.com/kikaih19-4/,3,,インバータで駆動されている誘導電動機の回転速度に関する計算問題,2,誘導機,kikai:kikaih19-4
đáp án,H19,機械,問3,1,https://denken-ou.com/kikaih19-3/,2,,三相巻線形誘導電動機の構造に関する空欄穴埋問題,4,誘導機,kikai:kikaih19-3
đáp án,H19,機械,問2,1,https://denken-ou.com/kikaih19-2/,5,,直流分巻電動機の無負荷時の回転速度に関する計算問題,2,直流機,kikai:kikaih19-2
đáp án,H19,機械,問1,1,https://denken-ou.com/kikaih19-1/,5,,直流直巻電動機を無負荷で使用できない理由に関する論説問題,3,直流機,kikai:kikaih19-1
đáp án,H19,電力,問17,2,https://denken-ou.com/denryokuh19-17/,2,4,太陽光発電設備が接続された単相 3 線式配電線路に関する計算問題,2,配電（計算）,denryoku:denryokuh19-17
đáp án,H19,電力,問16,2,https://denken-ou.com/denryokuh19-16/,2,3,異容量 V 結線方式のベクトル図と過負荷にならない容量に関する計算問題,4,変電,denryoku:denryokuh19-16
đáp án,H19,電力,問15,2,https://denken-ou.com/denryokuh19-15/,5,1,速度調定率を用いた負荷急変時の周波数と出力変化に関する計算問題,3,火力,denryoku:denryokuh19-15~2
đáp án,H19,電力,問14,1,https://denken-ou.com/denryokuh19-14/,4,,六ふっ化硫黄ガスの特徴に関する論説問題,2,電気材料,denryoku:denryokuh19-14
đáp án,H19,電力,問13,1,https://denken-ou.com/denryokuh19-13/,5,,高低圧配電系統に採用されている配電方式に関する空欄穴埋問題,2,配電（知識）,denryoku:denryokuh19-13
đáp án,H19,電力,問12,1,https://denken-ou.com/denryokuh19-12/,3,,三相短絡事故が発生した時の短絡電流に関する計算問題,2,配電（計算）,denryoku:denryokuh19-12
đáp án,H19,電力,問11,1,https://denken-ou.com/denryokuh19-11/,2,,CVTケーブルのCV-3Cケーブルと比較した特徴に関する空欄穴埋問題,2,送電（地中送電知識）,denryoku:denryokuh19-11
đáp án,H19,電力,問10,1,https://denken-ou.com/denryokuh19-10/,1,,三相3線式送電線の電力損失率に関する計算問題,2,送電,denryoku:denryokuh19-10
đáp án,H19,電力,問9,1,https://denken-ou.com/denryokuh19-9/,4,,受電端電圧が送電端電圧より高くなる現象の名称や特徴に関する空欄穴埋問題,1,送電（地中送電知識）,denryoku:denryokuh19-9
đáp án,H19,電力,問8,1,https://denken-ou.com/denryokuh19-8/,1,,架空送電線路の架空地線に関する論説問題,4,送電,denryoku:denryokuh19-8
đáp án,H19,電力,問7,1,https://denken-ou.com/denryokuh19-7/,5,,電力系統に現れる過電圧の種類と対策に関する論説問題,3,送電,denryoku:denryokuh19-7
đáp án,H19,電力,問6,1,https://denken-ou.com/denryokuh19-6/,5,,ガス絶縁開閉装置の特徴に関する論説問題,2,変電,denryoku:denryokuh19-6
đáp án,H19,電力,問5,1,https://denken-ou.com/denryokuh19-5/,4,,各発電所の二酸化碳素排出量の違いに関する論説問題,2,原子力,denryoku:denryokuh19-5~2
đáp án,H19,電力,問4,1,https://denken-ou.com/denryokuh19-4/,1,,原子力発電所で採用されている原子炉の種類や特徴に関する空欄穴埋問題,3,原子力,denryoku:denryokuh19-4
đáp án,H19,電力,問3,1,https://denken-ou.com/denryokuh19-3/,3,,コンバインドサイクル発電方式と汽力発電方式の比較に関する論説問題,3,火力,denryoku:denryokuh19-3
đáp án,H19,電力,問2,1,https://denken-ou.com/denryokuh19-2/,2,,汽力発電の基本サイクルであるランキンサイクルの効率に関する計算問題,2,火力,denryoku:denryokuh19-2
đáp án,H19,電力,問1,1,https://denken-ou.com/denryokuh19-1/,3,,水力発電の水車と発電機，主変圧器の特徴に関する論説問題,2,電力水力,denryoku:denryokuh19-1
đáp án,H19,理論,問18,2,https://denken-ou.com/rironh19-18/,3,1,トランジスタを用いた変成器結合電力増幅回路に関する計算問題,4,電子理論（電子回路）,riron:rironh19-18
đáp án,H19,理論,問17,2,https://denken-ou.com/rironh19-17/,2,3,導体中を流れる自由電子の移動速度に関する計算問題,4,電子理論（電子の運動）,riron:rironh19-17
đáp án,H19,理論,問16,2,https://denken-ou.com/rironh19-16/,1,1,可動コイル形計器と測定範囲の拡大に関する空欄穴埋・計算問題,3,電気及び電子計測,riron:rironh19-16
đáp án,H19,理論,問15,2,https://denken-ou.com/rironh19-15/,5,3,平衡三相回路の負荷電流と静電容量の大きさに関する計算問題,4,電気回路（三相交流）,riron:rironh19-15
đáp án,H19,理論,問14,1,https://denken-ou.com/rironh19-14/,1,,電圧計と電流計を用いた直流電力の誤差に関する計算問題,4,電気及び電子計測,riron:rironh19-14
tiêu đề + đáp án,H19,理論,問13,1,https://denken-ou.com/rironh19-13/,2,,一様磁界中の電子の運動に関する空欄穴埋問題,2,電子理論（電子の運動）,riron:rironh19-13
đáp án,H19,理論,問12,1,https://denken-ou.com/rironh19-12/,5,,演算増幅器の特徴に関する論説問題,2,電子理論（電子回路）,riron:rironh19-12
tiêu đề + đáp án,H19,理論,問11,1,https://denken-ou.com/rironh19-11/,5,,各ダイオードに加える電圧の方向に関する空欄穴埋問題,2,電子理論（半導体）,riron:rironh19-11
đáp án,H19,理論,問10,1,https://denken-ou.com/rironh19-10/,4,,RC回路の時定数の大小比較に関する計算問題,2,電気回路（過渡現象）,riron:rironh19-10
đáp án,H19,理論,問9,1,https://denken-ou.com/rironh19-9/,2,,RLC並列回路のインピーダンスの大小比較に関する計算問題,2,電気回路（単相交流）,riron:rironh19-9
đáp án,H19,理論,問8,1,https://denken-ou.com/rironh19-8/,3,,電源の周波数を変化させたときの力率変化に関する計算問題,2,電気回路（単相交流）,riron:rironh19-8
đáp án,H19,理論,問7,1,https://denken-ou.com/rironh19-7/,2,,RLC回路において抵抗で消費されるエネルギーに関する計算問題,2,電気回路（直流回路）,riron:rironh19-7
đáp án,H19,理論,問6,1,https://denken-ou.com/rironh19-6/,3,,ブリッジ回路の平衡条件と電流計を活用した抵抗値の導出に関する計算問題,2,電気回路（直流回路）,riron:rironh19-6
tiêu đề + đáp án,H19,理論,問5,1,https://denken-ou.com/rironh19-5/,5,,抵抗から発生するジュール熱が最大となる条件に関する計算問題,3,電気回路（直流回路）,riron:rironh19-5
đáp án,H19,理論,問4,1,https://denken-ou.com/rironh19-4/,4,,直列，並列接続されたコンデンサの静電エネルギーの比較に関する計算問題,2,電磁気（静電界）,riron:rironh19-4
đáp án,H19,理論,問3,1,https://denken-ou.com/rironh19-3/,4,,電気力線の特徴からの未知の電荷の導出に関する計算問題,1,電磁気（静電界）,riron:rironh19-3
đáp án,H19,理論,問2,1,https://denken-ou.com/rironh19-2/,4,,磁界中に物体を置いたときに現れる現象に関する空欄穴埋問題,2,電磁気（磁気、電磁力）,riron:rironh19-2
đáp án,H19,理論,問1,1,https://denken-ou.com/rironh19-1/,2,,直線状導体と円形コイルが作る磁界の比較に関する計算問題,1,電磁気（磁気、電磁力）,riron:rironh19-1
đáp án,H18,法規,問13,2,https://denken-ou.com/houkih18-13/,2,2,負荷設備から配電系統へ流出する第５調波電流に関する計算問題,3,電気施設管理（計算）,houki:houkih18-13
đáp án,H18,法規,問12,2,https://denken-ou.com/houkih18-12/,5,4,負荷を追加しコンデンサを設置した際の電力演算に関する計算問題,2,電気施設管理（計算）,houki:houkih18-12
đáp án,H18,法規,問11,2,https://denken-ou.com/houkih18-11/,2,4,高圧配電線路の1線地絡電流とB種接地抵抗に関する計算問題,4,電気設備技術基準（計算）,houki:houkih18-11
đáp án,H18,法規,問10,1,https://denken-ou.com/houkih18-10/,1,,需要率，不等率，負荷率の式に関する空欄穴埋問題,1,電気施設管理（知識）,houki:houkih18-10
đáp án,H18,法規,問9,1,https://denken-ou.com/houkih18-9/,3,,高圧受電設備の地絡保護協調に関する空欄穴埋問題,2,電気施設管理（知識）,houki:houkih18-9
đáp án,H18,法規,問8,1,https://denken-ou.com/houkih18-8/,4,,高圧屋内配線等の施設に関する空欄穴埋問題,4,電気設備技術基準の解釈,houki:houkih18-8
đáp án,H18,法規,問7,1,https://denken-ou.com/houkih18-7/,4,,住宅の屋内電路の対地電圧の制限に関する空欄穴埋問題,3,電気設備技術基準の解釈,houki:houkih18-7
đáp án,H18,法規,問6,1,https://denken-ou.com/houkih18-6/,1,,太陽電池モジュールの絶縁耐力に関する空欄穴埋問題,2,電気設備技術基準の解釈,houki:houkih18-6
đáp án,H18,法規,問5,1,https://denken-ou.com/houkih18-5/,3,,配線の感電又は火災の防止に関する空欄穴埋問題,2,電気設備の技術基準を定める省令,houki:houkih18-5
đáp án,H18,法規,問4,1,https://denken-ou.com/houkih18-4/,3,,非常用予備電源の施設に関する空欄穴埋問題,3,電気設備の技術基準を定める省令,houki:houkih18-4
đáp án,H18,法規,問3,1,https://denken-ou.com/houkih18-3/,5,,地中電線等の施設に関する空欄穴埋問題,3,電気設備の技術基準を定める省令,houki:houkih18-3
đáp án,H18,法規,問2,1,https://denken-ou.com/houkih18-2/,2,,電気事業法に関連する様々な条文に関する論説問題,2,電気設備の技術基準を定める省令,houki:houkih18-2~3
đáp án,H18,法規,問1,1,https://denken-ou.com/houkih18-1/,5,,「電気事業法」に基づく技術基準適合命令に関する空欄穴埋問題,1,電気事業法及び施行規則,houki:houkih18-1
đáp án,H18,機械,問18,2,https://denken-ou.com/kikaih18-18/,4,5,フリップフロップを含む回路に関する選択・空欄穴埋問題,4,情報伝送及び処理,kikai:kikaih18-18
đáp án,H18,機械,問17,2,https://denken-ou.com/kikaih18-17/,3,2,直線光源の光束発散度と床面での水平面照度に関する計算問題,4,照明,kikai:kikaih18-17
đáp án,H18,機械,問16,2,https://denken-ou.com/kikaih18-16/,3,2,三相かご形誘導電動機の二次銅損と一次入力に関する計算問題,2,誘導機,kikai:kikaih18-16
đáp án,H18,機械,問15,2,https://denken-ou.com/kikaih18-15/,3,1,直流分巻発電機の誘導起電力と効率に関する計算問題,2,直流機,kikai:kikaih18-15
đáp án,H18,機械,問14,1,https://denken-ou.com/kikaih18-14/,5,,真理値表からの論理式の導出に関する計算問題,2,情報伝送及び処理,kikai:kikaih18-14
đáp án,H18,機械,問13,1,https://denken-ou.com/kikaih18-13/,1,,R-L直列回路の周波数伝達関数に関する計算問題,3,自動制御,kikai:kikaih18-13
đáp án,H18,機械,問12,1,https://denken-ou.com/kikaih18-12/,4,,ニッケル・水素蓄電池の特徴に関する空欄穴埋問題,4,電気化学,kikai:kikaih18-12
đáp án,H18,機械,問11,1,https://denken-ou.com/kikaih18-11/,1,,物体とその周囲の外界との間の熱の移動に関する空欄穴埋問題 (Bài điền vào chỗ trống về sự truyền nhiệt giữa vật thể và môi trường xung quanh),2,電熱,kikai:kikaih18-11
đáp án,H18,機械,問10,1,https://denken-ou.com/kikaih18-10/,3,,水を汲み上げるのに必要な電動機入力に関する計算問題,2,電動機応用,kikai:kikaih18-10
đáp án,H18,機械,問9,1,https://denken-ou.com/kikaih18-9/,3,,出力波形からの適切な電力変換回路の選定に関する選択問題,3,パワーエレクトロニクス,kikai:kikaih18-9
